sample	gene_name	start	end	drug_class	conteo
SL068	mdeA	5248.0	6603.0	fluoroquinolone antibiotic; aminoglycoside antibiotic; penam; tetracycline antibiotic; disinfecting agents and antiseptics	60
SL068	patA	2049.0	3791.0	fluoroquinolone antibiotic	35
SL068	patB	505.0	2010.0	fluoroquinolone antibiotic	31
SL068	qacG	311.0	571.0	disinfecting agents and antiseptics	15
SL068	qacJ	3.0	260.0	disinfecting agents and antiseptics	1
SL068	sul2	513.0	1328.0	sulfonamide antibiotic	16
SL068	tet(M)	11907.0	13826.0	tetracycline antibiotic	30
SL068	vanT gene in vanG cluster	654.0	1670.0	glycopeptide antibiotic	81
SL068	vanW gene in vanI cluster	3.0	242.0	glycopeptide antibiotic	73
SL068	vanY gene in vanA cluster	1.0	321.0	glycopeptide antibiotic	4
SL068	vanY gene in vanB cluster	1.0	315.0	glycopeptide antibiotic	3
SL068	vanY gene in vanF cluster	777.0	1322.0	glycopeptide antibiotic	7
SL068	vanY gene in vanG cluster	3.0	320.0	glycopeptide antibiotic	1
SL068	vanY gene in vanM cluster	3.0	347.0	glycopeptide antibiotic	5
SL068	__no_feature				419430
SL068	__ambiguous				3
SL068	__too_low_aQual				54118
SL068	__not_aligned				138964
SL068	__alignment_not_unique				0
SL085	APH(3'')-Ib	1851.0	2654.0	aminoglycoside antibiotic	20
SL085	CfxA3	204.0	1169.0	cephamycin	22
SL085	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	1149.0	2333.0	elfamycin antibiotic	46
SL085	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	3.0	1961.0	cephalosporin; cephamycin; penam	27
SL085	TEM-1	148.0	1008.0	monobactam; cephalosporin; penam; penem	36
SL085	mdeA	263.0	679.0	fluoroquinolone antibiotic; aminoglycoside antibiotic; penam; tetracycline antibiotic; disinfecting agents and antiseptics	4
SL085	mtrA	22.0	864.0	macrolide antibiotic; penam	6
SL085	pmrA	1.0	1203.0	fluoroquinolone antibiotic	45
SL085	qacJ	1.0	276.0	disinfecting agents and antiseptics	9
SL085	sul2	2715.0	3530.0	sulfonamide antibiotic	22
SL085	tet(M)	2.0	886.0	tetracycline antibiotic	38
SL085	vanT gene in vanG cluster	3.0	1313.0	glycopeptide antibiotic	29
SL085	vanW gene in vanI cluster	2.0	310.0	glycopeptide antibiotic	11
SL085	vanY gene in vanB cluster	2.0	280.0	glycopeptide antibiotic	7
SL085	vanY gene in vanG cluster	2.0	250.0	glycopeptide antibiotic	5
SL085	vanY gene in vanM cluster	2.0	253.0	glycopeptide antibiotic	94
SL085	__no_feature				540629
SL085	__ambiguous				10
SL085	__too_low_aQual				84582
SL085	__not_aligned				161345
SL085	__alignment_not_unique				0
SL086	APH(3'')-Ib	3.0	836.0	aminoglycoside antibiotic	61
SL086	APH(3')-Ia	148.0	963.0	aminoglycoside antibiotic	26
SL086	CfxA3	149.0	1114.0	cephamycin	11
SL086	ErmB	576.0	1313.0	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	35
SL086	ErmX	1538.0	2392.0	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	43
SL086	TEM-1	153.0	1013.0	monobactam; cephalosporin; penam; penem	41
SL086	nimA	516.0	1004.0	nitroimidazole antibiotic	8
SL086	patA	259.0	1746.0	fluoroquinolone antibiotic	129
SL086	patB	3.0	1598.0	fluoroquinolone antibiotic	25
SL086	qacG	71.0	331.0	disinfecting agents and antiseptics	13
SL086	qacJ	172.0	453.0	disinfecting agents and antiseptics	1
SL086	sul2	1061.0	1876.0	sulfonamide antibiotic	39
SL086	tet(M)	532.0	2451.0	tetracycline antibiotic	50
SL086	vanT gene in vanG cluster	2.0	1003.0	glycopeptide antibiotic	46
SL086	vanW gene in vanB cluster	2.0	268.0	glycopeptide antibiotic	1
SL086	vanW gene in vanI cluster	1.0	264.0	glycopeptide antibiotic	29
SL086	vanY gene in vanA cluster	3.0	278.0	glycopeptide antibiotic	0
SL086	vanY gene in vanB cluster	2.0	289.0	glycopeptide antibiotic	2
SL086	vanY gene in vanG cluster	1.0	384.0	glycopeptide antibiotic	17
SL086	vanY gene in vanM cluster	2.0	247.0	glycopeptide antibiotic	51
SL086	__no_feature				636072
SL086	__ambiguous				8
SL086	__too_low_aQual				61371
SL086	__not_aligned				126005
SL086	__alignment_not_unique				0
SL088	APH(3'')-Ib	3.0	836.0	aminoglycoside antibiotic	54
SL088	APH(3')-Ia	340.0	1155.0	aminoglycoside antibiotic	46
SL088	CfxA3	52.0	1017.0	cephamycin	31
SL088	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	424.0	1608.0	elfamycin antibiotic	137
SL088	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	4158.0	5882.0	cephalosporin; cephamycin; penam	63
SL088	TEM-1	148.0	1008.0	monobactam; cephalosporin; penam; penem	60
SL088	mdeA	106817.0	108172.0	fluoroquinolone antibiotic; aminoglycoside antibiotic; penam; tetracycline antibiotic; disinfecting agents and antiseptics	44
SL088	patA	1591.0	3297.0	fluoroquinolone antibiotic	242
SL088	patB	3.0	1589.0	fluoroquinolone antibiotic	253
SL088	qacG	2.0	340.0	disinfecting agents and antiseptics	16
SL088	sul2	84.0	899.0	sulfonamide antibiotic	75
SL088	tet(M)	121.0	2025.0	tetracycline antibiotic	25
SL088	vanH gene in vanF cluster	5402.0	6439.0	glycopeptide antibiotic	36
SL088	vanH gene in vanP cluster	189.0	1181.0	glycopeptide antibiotic	29
SL088	vanT gene in vanG cluster	55.0	1143.0	glycopeptide antibiotic	115
SL088	vanW gene in vanG cluster	2.0	283.0	glycopeptide antibiotic	37
SL088	vanW gene in vanI cluster	3.0	230.0	glycopeptide antibiotic	50
SL088	vanY gene in vanA cluster	2.0	613.0	glycopeptide antibiotic	3
SL088	vanY gene in vanB cluster	109.0	567.0	glycopeptide antibiotic	81
SL088	vanY gene in vanG cluster	3.0	248.0	glycopeptide antibiotic	26
SL088	vanY gene in vanM cluster	2.0	196.0	glycopeptide antibiotic	88
SL088	__no_feature				957434
SL088	__ambiguous				73
SL088	__too_low_aQual				92894
SL088	__not_aligned				103945
SL088	__alignment_not_unique				0
SL090	ANT(2'')-Ia	44.0	577.0	aminoglycoside antibiotic	7
SL090	APH(3'')-Ib	1650.0	2453.0	aminoglycoside antibiotic	30
SL090	APH(3')-IIIa	92.0	886.0	aminoglycoside antibiotic	26
SL090	CfxA3	1425.0	2390.0	cephamycin	26
SL090	ErmB	1590.0	2327.0	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	57
SL090	ErmX	1749.0	2603.0	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	77
SL090	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	3.0	1160.0	elfamycin antibiotic	71
SL090	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	369.0	2189.0	cephalosporin; cephamycin; penam	81
SL090	Klebsiella pneumoniae KpnH	81.0	1607.0	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem	56
SL090	Neisseria gonorrhoeae gyrA conferring resistance to fluoroquinolones	192.0	2963.0	fluoroquinolone antibiotic	76
SL090	TEM-1	148.0	990.0	monobactam; cephalosporin; penam; penem	31
SL090	mdeA	2.0	457.0	fluoroquinolone antibiotic; aminoglycoside antibiotic; penam; tetracycline antibiotic; disinfecting agents and antiseptics	107
SL090	patA	2813.0	4555.0	fluoroquinolone antibiotic	71
SL090	patB	367.0	2133.0	fluoroquinolone antibiotic	203
SL090	qacG	1385.0	1708.0	disinfecting agents and antiseptics	45
SL090	sul2	774.0	1589.0	sulfonamide antibiotic	18
SL090	tet(M)	1.0	522.0	tetracycline antibiotic	134
SL090	tet(W)	323.0	2245.0	tetracycline antibiotic	106
SL090	vanH gene in vanO cluster	63.0	1061.0	glycopeptide antibiotic	14
SL090	vanH gene in vanP cluster	315.0	1169.0	glycopeptide antibiotic	12
SL090	vanT gene in vanG cluster	633.0	1736.0	glycopeptide antibiotic	146
SL090	vanW gene in vanI cluster	1.0	1191.0	glycopeptide antibiotic	135
SL090	vanY gene in vanA cluster	3.0	230.0	glycopeptide antibiotic	0
SL090	vanY gene in vanB cluster	2.0	163.0	glycopeptide antibiotic	73
SL090	vanY gene in vanG cluster	1.0	357.0	glycopeptide antibiotic	15
SL090	vanY gene in vanM cluster	53.0	229.0	glycopeptide antibiotic	109
SL090	__no_feature				1175462
SL090	__ambiguous				39
SL090	__too_low_aQual				113736
SL090	__not_aligned				99944
SL090	__alignment_not_unique				0
SL103	APH(3'')-Ib	179.0	1012.0	aminoglycoside antibiotic	61
SL103	APH(3')-Ia	29.0	844.0	aminoglycoside antibiotic	29
SL103	CfxA3	673.0	1638.0	cephamycin	24
SL103	ErmB	37389.0	38126.0	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	137
SL103	ErmX	2255.0	3109.0	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	33
SL103	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	217.0	1401.0	elfamycin antibiotic	65
SL103	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	432.0	1451.0	cephalosporin; cephamycin; penam	12
SL103	TEM-1	200.0	1060.0	monobactam; cephalosporin; penam; penem	97
SL103	mdeA	150.0	596.0	fluoroquinolone antibiotic; aminoglycoside antibiotic; penam; tetracycline antibiotic; disinfecting agents and antiseptics	24
SL103	patA	3189.0	4829.0	fluoroquinolone antibiotic	407
SL103	patB	1418.0	3217.0	fluoroquinolone antibiotic	318
SL103	qacG	936.0	1265.0	disinfecting agents and antiseptics	34
SL103	qacJ	1848.0	2141.0	disinfecting agents and antiseptics	9
SL103	sul2	84.0	899.0	sulfonamide antibiotic	54
SL103	tet(32)	1940.0	2503.0	tetracycline antibiotic	31
SL103	tet(M)	25555.0	27474.0	tetracycline antibiotic	285
SL103	vanH gene in vanO cluster	2.0	925.0	glycopeptide antibiotic	14
SL103	vanT gene in vanG cluster	1.0	870.0	glycopeptide antibiotic	31
SL103	vanW gene in vanG cluster	16941.0	17777.0	glycopeptide antibiotic	144
SL103	vanW gene in vanI cluster	1.0	213.0	glycopeptide antibiotic	78
SL103	vanY gene in vanA cluster	76.0	240.0	glycopeptide antibiotic	18
SL103	vanY gene in vanB cluster	3.0	320.0	glycopeptide antibiotic	61
SL103	vanY gene in vanG cluster	1.0	435.0	glycopeptide antibiotic	49
SL103	vanY gene in vanM cluster	11.0	220.0	glycopeptide antibiotic	608
SL103	__no_feature				1553733
SL103	__ambiguous				75
SL103	__too_low_aQual				148661
SL103	__not_aligned				136591
SL103	__alignment_not_unique				0
SL111	patA	6332.0	8038.0	fluoroquinolone antibiotic	113
SL111	patB	1.0	1380.0	fluoroquinolone antibiotic	181
SL111	qacG	2019.0	2342.0	disinfecting agents and antiseptics	43
SL111	tet(32)	2.0	538.0	tetracycline antibiotic	2
SL111	tet(M)	2681.0	3481.0	tetracycline antibiotic	38
SL111	tet(O)	1.0	474.0	tetracycline antibiotic	2
SL111	vanT gene in vanG cluster	509.0	1612.0	glycopeptide antibiotic	67
SL111	vanW gene in vanG cluster	3.0	278.0	glycopeptide antibiotic	8
SL111	vanW gene in vanI cluster	2.0	418.0	glycopeptide antibiotic	33
SL111	vanY gene in vanB cluster	2.0	286.0	glycopeptide antibiotic	25
SL111	vanY gene in vanG cluster	2.0	502.0	glycopeptide antibiotic	105
SL111	vanY gene in vanM cluster	3.0	209.0	glycopeptide antibiotic	272
SL111	__no_feature				853326
SL111	__ambiguous				30
SL111	__too_low_aQual				79434
SL111	__not_aligned				131006
SL111	__alignment_not_unique				0
SL112	APH(3'')-Ib	964.0	1767.0	aminoglycoside antibiotic	8
SL112	APH(3')-Ia	2060.0	2875.0	aminoglycoside antibiotic	14
SL112	APH(6)-Id	128.0	964.0	aminoglycoside antibiotic	13
SL112	CfxA2	359.0	1324.0	cephamycin	21
SL112	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	571.0	1740.0	cephalosporin; cephamycin; penam	136
SL112	TEM-1	660.0	1520.0	monobactam; cephalosporin; penam; penem	20
SL112	mdeA	1703.0	3058.0	fluoroquinolone antibiotic; aminoglycoside antibiotic; penam; tetracycline antibiotic; disinfecting agents and antiseptics	37
SL112	patA	1.0	1242.0	fluoroquinolone antibiotic	227
SL112	patB	1155.0	2921.0	fluoroquinolone antibiotic	76
SL112	pmrA	685.0	1884.0	fluoroquinolone antibiotic	51
SL112	qacG	55.0	330.0	disinfecting agents and antiseptics	98
SL112	sul2	1828.0	2643.0	sulfonamide antibiotic	13
SL112	tet(32)	1.0	591.0	tetracycline antibiotic	11
SL112	tet(M)	1.0	1248.0	tetracycline antibiotic	21
SL112	vanT gene in vanG cluster	3127.0	4239.0	glycopeptide antibiotic	52
SL112	vanW gene in vanG cluster	1.0	822.0	glycopeptide antibiotic	19
SL112	vanW gene in vanI cluster	1.0	387.0	glycopeptide antibiotic	77
SL112	vanY gene in vanA cluster	328.0	555.0	glycopeptide antibiotic	4
SL112	vanY gene in vanB cluster	1.0	273.0	glycopeptide antibiotic	38
SL112	vanY gene in vanG cluster	1.0	234.0	glycopeptide antibiotic	65
SL112	vanY gene in vanM cluster	51.0	308.0	glycopeptide antibiotic	43
SL112	__no_feature				1224035
SL112	__ambiguous				26
SL112	__too_low_aQual				98749
SL112	__not_aligned				133838
SL112	__alignment_not_unique				0
SL114	CfxA3	158.0	1123.0	cephamycin	10
SL114	ErmB	192.0	917.0	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	5
SL114	ErmX	1.0	720.0	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	8
SL114	TEM-1	1913.0	2773.0	monobactam; cephalosporin; penam; penem	11
SL114	mdeA	388.0	840.0	fluoroquinolone antibiotic; aminoglycoside antibiotic; penam; tetracycline antibiotic; disinfecting agents and antiseptics	3
SL114	patB	36.0	1622.0	fluoroquinolone antibiotic	45
SL114	qacG	2168.0	2497.0	disinfecting agents and antiseptics	7
SL114	tet(32)	74.0	637.0	tetracycline antibiotic	2
SL114	tet(M)	98.0	964.0	tetracycline antibiotic	15
SL114	vanW gene in vanG cluster	3.0	290.0	glycopeptide antibiotic	1
SL114	vanW gene in vanI cluster	3.0	209.0	glycopeptide antibiotic	30
SL114	vanY gene in vanB cluster	1.0	555.0	glycopeptide antibiotic	38
SL114	vanY gene in vanF cluster	3.0	146.0	glycopeptide antibiotic	0
SL114	vanY gene in vanG cluster	1.0	297.0	glycopeptide antibiotic	5
SL114	vanY gene in vanM cluster	1.0	219.0	glycopeptide antibiotic	16
SL114	__no_feature				394378
SL114	__ambiguous				1
SL114	__too_low_aQual				60869
SL114	__not_aligned				132912
SL114	__alignment_not_unique				0
SL118	APH(3'')-Ib	324.0	1127.0	aminoglycoside antibiotic	57
SL118	APH(3')-Ia	969.0	1709.0	aminoglycoside antibiotic	14
SL118	CfxA2	16.0	981.0	cephamycin	37
SL118	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	129.0	1313.0	elfamycin antibiotic	92
SL118	TEM-1	8098.0	8958.0	monobactam; cephalosporin; penam; penem	53
SL118	patA	1537.0	3243.0	fluoroquinolone antibiotic	116
SL118	patB	3.0	1535.0	fluoroquinolone antibiotic	78
SL118	pmrA	783.0	1982.0	fluoroquinolone antibiotic	78
SL118	qacG	2.0	331.0	disinfecting agents and antiseptics	5
SL118	qacJ	2.0	235.0	disinfecting agents and antiseptics	0
SL118	sul2	1188.0	2003.0	sulfonamide antibiotic	39
SL118	tet(M)	1.0	432.0	tetracycline antibiotic	57
SL118	vanH gene in vanP cluster	4598.0	5590.0	glycopeptide antibiotic	28
SL118	vanW gene in vanG cluster	3.0	422.0	glycopeptide antibiotic	0
SL118	vanY gene in vanA cluster	2.0	451.0	glycopeptide antibiotic	1
SL118	vanY gene in vanB cluster	55.0	345.0	glycopeptide antibiotic	26
SL118	vanY gene in vanG cluster	1619.0	2407.0	glycopeptide antibiotic	17
SL118	vanY gene in vanM cluster	2.0	217.0	glycopeptide antibiotic	92
SL118	__no_feature				970031
SL118	__ambiguous				56
SL118	__too_low_aQual				126029
SL118	__not_aligned				180827
SL118	__alignment_not_unique				0
SL125	APH(3'')-Ib	179.0	982.0	aminoglycoside antibiotic	17
SL125	CfxA2	216.0	1181.0	cephamycin	63
SL125	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	29.0	1213.0	elfamycin antibiotic	89
SL125	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	3995.0	5815.0	cephalosporin; cephamycin; penam	37
SL125	TEM-1	153.0	1013.0	monobactam; cephalosporin; penam; penem	29
SL125	patA	2940.0	4682.0	fluoroquinolone antibiotic	97
SL125	patB	4684.0	6450.0	fluoroquinolone antibiotic	142
SL125	qacG	521.0	850.0	disinfecting agents and antiseptics	34
SL125	tet(M)	8335.0	10254.0	tetracycline antibiotic	70
SL125	vanH gene in vanP cluster	371.0	1363.0	glycopeptide antibiotic	19
SL125	vanT gene in vanG cluster	8145.0	9257.0	glycopeptide antibiotic	64
SL125	vanW gene in vanG cluster	774.0	1289.0	glycopeptide antibiotic	24
SL125	vanW gene in vanI cluster	1.0	279.0	glycopeptide antibiotic	47
SL125	vanY gene in vanA cluster	11.0	223.0	glycopeptide antibiotic	0
SL125	vanY gene in vanB cluster	3.0	233.0	glycopeptide antibiotic	33
SL125	vanY gene in vanG cluster	1.0	297.0	glycopeptide antibiotic	46
SL125	vanY gene in vanM cluster	3.0	209.0	glycopeptide antibiotic	26
SL125	__no_feature				688645
SL125	__ambiguous				20
SL125	__too_low_aQual				72504
SL125	__not_aligned				127881
SL125	__alignment_not_unique				0
SL200	ErmB	565.0	1302.0	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	11
SL200	Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin	1.0	372.0	aminoglycoside antibiotic	4
